Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
 The author has seen a pair of shoes  such as here described  made in a few hours ,author seen pair shoes described hours,13.41,"author,seen,pair,shoes,described,hours",0.00,
It was soon remarked by the men   servants that he had left off clumping so heavily  and it was observed by the maids that he never dirtied the stairs or passages with his shoes ,soon remarked men servants left clumping heavily observed maids dirtied stairs passages shoes,11.80,"soon,remarked,men,servants,left,clumping,heavily,observed,maids,dirtied,stairs,passages,shoes",0.00,
When he was praised for these things  he said it was his sister Mary who should be thanked  and not he  and he showed the shoes which she had made for him ,praised things said sister Mary thanked showed shoes,15.48,"praised,things,said,sister,Mary,thanked,showed,shoes",0.00,
Isabella  s maid bespoke a pair immediately  and sent Mary a piece of pretty calico for the outside ,Isabella maid bespoke pair immediately sent Mary piece pretty calico outside,7.00,"Isabella,maid,bespoke,pair,immediately,sent,Mary,piece,pretty,calico,outside",0.00,
The last   maker made a last for her  and over this Mary sewed the calico vamps tight ,maker Mary sewed calico vamps tight,12.79,"maker,Mary,sewed,calico,vamps,tight",0.00,
Her brother advised her to try platted packthread instead of hemp for the soles  and she found that this looked more neat than the hemp soles  and was likely to last longer ,brother advised try platted packthread instead hemp soles found looked neat hemp soles likely longer,9.83,"brother,advised,try,platted,packthread,instead,hemp,soles,found,looked,neat,hemp,soles,likely,longer",0.00,
She platted the packthread together in strands of about half an inch thick  and these were served firmly together at the bottom of the shoe ,platted packthread strands half inch thick served firmly shoe,11.43,"platted,packthread,strands,half,inch,thick,served,firmly,shoe",0.00,
When they were finished they fitted well  and the maid showed them to her mistress ,finished fitted maid showed mistress,12.05,"finished,fitted,maid,showed,mistress",0.00,
Isabella and Caroline were so well pleased with Mary  s ingenuity and kindness to her brother  that they bespoke from her two dozen of these shoes  and gave her three yards of coloured fustian to make them of  and galloon for the binding ,Isabella Caroline pleased Mary ingenuity kindness brother bespoke dozen shoes gave yards coloured fustian galloon binding,11.34,"Isabella,Caroline,pleased,Mary,ingenuity,kindness,brother,bespoke,dozen,shoes,gave,yards,coloured,fustian,galloon,binding",0.00,
When the shoes were completed  Isabella and Caroline disposed of them for her amongst their acquaintance  and got three shillings a pair for them ,shoes completed Isabella Caroline disposed acquaintance got shillings pair,10.27,"shoes,completed,Isabella,Caroline,disposed,acquaintance,got,shillings,pair",0.00,
The young ladies  as soon as they had collected the money  walked to the old castle  where they found everything neat and clean as usual ,young ladies soon collected money walked old castle found neat clean usual,9.49,"young,ladies,soon,collected,money,walked,old,castle,found,neat,clean,usual",0.00,
They had great pleasure in giving to this industrious girl the reward of her ingenuity  which she received with some surprise and more gratitude ,great pleasure giving industrious girl reward ingenuity received surprise gratitude,9.66,"great,pleasure,giving,industrious,girl,reward,ingenuity,received,surprise,gratitude",0.00,
