Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
The little ones leaped  and shouted  and laughed  And all the hills echoed ,little ones leaped shouted laughed hills echoed,8.00,"little,ones,leaped,shouted,laughed,hills,echoed",0.00,
Sweet joy befall thee ,Sweet joy befall thee,0.00,"Sweet,joy,befall,thee",0.00,
Sweet joy  but two days old ,Sweet joy days old,7.14,"Sweet,joy,days,old",0.00,
Sweet Joy I call thee  Thou dost smile  I sing the while  Sweet joy befall thee ,Sweet Joy thee Thou dost smile sing Sweet joy befall thee,6.25,"Sweet,Joy,thee,Thou,dost,smile,sing,Sweet,joy,befall,thee",0.00,
Once a dream did weave a shade O  er my angel   guarded bed  That an emmet lost its way Where on grass methought I lay ,dream weave shade er angel guarded bed emmet lost way grass methought lay,10.08,"dream,weave,shade,er,angel,guarded,bed,emmet,lost,way,grass,methought,lay",0.00,
Troubled  wildered  and forlorn  Dark  benighted  travel   worn  Over many a tangle spray  All heart   broke  I heard her say ,Troubled wildered forlorn Dark benighted travel worn tangle spray heart broke heard,6.35,"Troubled,wildered,forlorn,Dark,benighted,travel,worn,tangle,spray,heart,broke,heard",0.00,
do they cry  Do they hear their father sigh ,cry hear father sigh,11.36,"cry,hear,father,sigh",0.00,
Now they look abroad to see  Now return and weep for me ,look abroad return weep,14.29,"look,abroad,return,weep",0.00,
Pitying  I dropped a tear  But I saw a glow   worm near  Who replied   What wailing wight Calls the watchman of the night ,Pitying dropped tear saw glow worm near replied wailing wight Calls watchman night,8.20,"Pitying,dropped,tear,saw,glow,worm,near,replied,wailing,wight,Calls,watchman,night",0.00,
 I am set to light the ground  While the beetle goes his round  Follow now the beetle  s hum  Little wanderer  hie thee home ,set light ground beetle goes round Follow beetle hum Little wanderer hie thee home,8.00,"set,light,ground,beetle,goes,round,Follow,beetle,hum,Little,wanderer,hie,thee,home",0.00,
Can I see another  s grief  And not seek for kind relief ,grief seek kind relief,14.04,"grief,seek,kind,relief",0.00,
Can I see a falling tear  And not feel my sorrow  s share ,falling tear feel sorrow share,13.79,"falling,tear,feel,sorrow,share",0.00,
Can a father see his child Weep  nor be with sorrow filled ,father child Weep sorrow filled,11.86,"father,child,Weep,sorrow,filled",0.00,
Can a mother sit and hear An infant groan  an infant fear ,mother sit hear infant groan infant fear,8.62,"mother,sit,hear,infant,groan,infant,fear",0.00,
And can He who smiles on all Hear the wren with sorrows small  Hear the small bird  s grief and care  Hear the woes that infants bear   ,smiles Hear wren sorrows small Hear small bird grief care Hear woes infants bear,9.56,"smiles,Hear,wren,sorrows,small,Hear,small,bird,grief,care,Hear,woes,infants,bear",0.00,
And not sit beside the next  Pouring pity in their breast  And not sit the cradle near  Weeping tear on infant  s tear ,sit Pouring pity breast sit cradle near Weeping tear infant tear,10.08,"sit,Pouring,pity,breast,sit,cradle,near,Weeping,tear,infant,tear",0.00,
And not sit both night and day  Wiping all our tears away ,sit night day Wiping tears away,10.34,"sit,night,day,Wiping,tears,away",0.00,
He doth give his joy to all  He becomes an infant small  He becomes a man of woe  He doth feel the sorrow too ,doth joy infant small man woe doth feel sorrow,13.64,"doth,joy,infant,small,man,woe,doth,feel,sorrow",0.00,
Think not thou canst sigh a sigh  And thy Maker is not by  Think not thou canst weep a tear  And thy Maker is not year ,Think thou canst sigh sigh thy Maker Think thou canst weep tear thy Maker year,9.24,"Think,thou,canst,sigh,sigh,thy,Maker,Think,thou,canst,weep,tear,thy,Maker,year",0.00,
Oh He gives to us his joy  That our grief He may destroy  Till our grief is fled an gone He doth sit by us and moan ,Oh gives joy grief destroy Till grief fled gone doth sit moan,12.93,"Oh,gives,joy,grief,destroy,Till,grief,fled,gone,doth,sit,moan",0.00,
Hear the voice of the Bard  Who present  past  and future  sees  Whose ears have heard The Holy Word That walked among the ancient tree ,Hear voice Bard present past future sees ears heard Holy Word walked ancient tree,8.09,"Hear,voice,Bard,present,past,future,sees,ears,heard,Holy,Word,walked,ancient,tree",0.00,
Calling the lapsed soul  And weeping in the evening dew  That might control The starry pole  And fallen  fallen light renew ,Calling lapsed soul weeping evening dew control starry pole fallen fallen light renew,6.45,"Calling,lapsed,soul,weeping,evening,dew,control,starry,pole,fallen,fallen,light,renew",0.00,
 O Earth  O Earth  return ,Earth Earth return,7.69,"Earth,Earth,return",0.00,
Arise from out the dewy grass ,Arise dewy grass,10.00,"Arise,dewy,grass",0.00,
Night is worn  And the morn Rises from the slumbrous mass ,Night worn morn Rises slumbrous mass,8.62,"Night,worn,morn,Rises,slumbrous,mass",0.00,
 Turn away no more  Why wilt thou turn away ,Turn away wilt thou turn away,6.82,"Turn,away,wilt,thou,turn,away",0.00,
The starry floor  The watery shore  Are given thee till the break of day ,starry floor watery shore given thee till break day,6.85,"starry,floor,watery,shore,given,thee,till,break,day",0.00,
Earth raised up her head From the darkness dread and drear  Her light fled  Stony  dread  And her locks covered with grey despair ,Earth raised head darkness dread drear light fled Stony dread locks covered grey despair,6.92,"Earth,raised,head,darkness,dread,drear,light,fled,Stony,dread,locks,covered,grey,despair",0.00,
 Prisoned on watery shore  Starry jealousy does keep my den Cold and hoar  Weeping o  re  I hear the father of the ancient men ,Prisoned watery shore Starry jealousy den Cold hoar Weeping hear father ancient men,8.66,"Prisoned,watery,shore,Starry,jealousy,den,Cold,hoar,Weeping,hear,father,ancient,men",0.00,
 Selfish father of men ,Selfish father men,4.35,"Selfish,father,men",0.00,
Cruel  jealous  selfish fear ,Cruel jealous selfish fear,0.00,"Cruel,jealous,selfish,fear",0.00,
